AICC2012,Temperature,Year
-55.0,218.3,2005
-50.51333333,218.3,2000
-46.02666667,218.3,1996
-41.54,218.3,1991
-34.51666667,218.3,1984
-27.49333333,218.3,1977
-20.47,218.3,1970
-12.21333333,218.3,1962
-3.956666667,218.3,1953
4.3,218.3,1946
13.22,218.3,1937
22.14,218.3,1928
31.06,218.3,1919
39.72333333,219.2,1911
48.38666667,220.4,1902
57.05,217.7,1893
66.38,217.0,1884
75.71,217.4,1875
85.04,217.4,1865
94.86333333,216.9,1856
104.6866667,218.2,1846
114.51,216.8,1836
124.6733333,216.3,1826
134.8366667,217.8,1816
145.0,217.0,1805
155.4433333,218.4,1795
165.8866667,217.7,1785
176.33,216.7,1774
186.7333333,216.2,1764
197.1366667,217.9,1753
207.54,215.0,1743
218.3533333,217.8,1732
229.1666667,218.2,1721
239.98,218.1,1711
251.3866667,217.4,1699
262.7933333,217.3,1688
274.2,216.0,1676
286.1633333,217.1,1664
298.1266667,217.6,1652
310.09,216.2,1640
322.2733333,217.0,1628
334.4566667,216.8,1616
346.64,217.4,1604
359.39,216.7,1591
372.14,216.5,1578
384.89,215.9,1566
397.84,216.9,1553
410.79,217.3,1540
423.74,217.6,1527
436.3933333,215.7,1514
449.0466667,217.6,1501
461.7,217.5,1489
474.5333333,216.8,1476
487.3666667,216.6,1463
500.2,217.8,1450
513.42,215.0,1437
526.64,216.5,1424
539.86,217.0,1411
553.08,218.7,1397
566.3,218.1,1384
579.52,216.6,1371
592.3966667,218.8,1358
605.2733333,216.5,1345
618.15,216.6,1332
630.7,218.9,1320
643.25,218.4,1307
655.8,217.7,1295
669.4466667,216.4,1281
683.0933333,216.8,1267
696.74,216.8,1254
711.2466667,216.9,1239
725.7533333,216.4,1225
740.26,216.0,1210
754.86,216.5,1196
769.46,217.3,1181
784.06,217.2,1166
797.64,217.7,1153
811.22,217.4,1139
824.8,218.0,1126
837.55,218.3,1113
850.3,218.6,1100
863.05,218.9,1087
876.68,216.4,1074
890.31,218.0,1060
903.94,216.0,1047
918.55,218.3,1032
933.16,216.4,1017
947.77,216.7,1003
962.7,216.9,988
977.63,216.7,973
992.56,217.8,958
1007.383333,217.0,943
1022.206667,217.0,928
1037.03,216.5,913
1051.463333,217.6,899
1065.896667,218.4,885
1080.33,217.8,870
1095.11,216.7,855
1109.89,216.6,841
1124.67,218.1,826
1139.59,216.9,811
1154.51,219.0,796
1169.43,216.5,781
1183.663333,217.1,767
1197.896667,218.3,753
1212.13,218.4,738
1226.456667,218.3,724
1240.783333,216.9,710
1255.11,218.0,695
1270.176667,217.8,680
1285.243333,217.7,665
1300.31,217.3,650
1315.393333,217.1,635
1330.476667,218.6,620
1345.56,217.6,605
1360.473333,218.3,590
1375.386667,217.3,575
1390.3,219.0,560
1404.833333,218.3,546
1419.366667,217.3,531
1433.9,217.4,517
1450.18,216.9,500
1466.46,216.7,484
1482.74,217.0,468
1498.793333,218.5,452
1514.846667,216.5,436
1530.9,217.1,420
1546.89,216.9,404
1562.88,217.2,388
1578.87,218.3,372
1595.08,216.5,355
1611.29,217.5,339
1627.5,217.7,323
1644.266667,216.3,306
1661.033333,216.6,289
1677.8,218.2,273
1694.506667,216.2,256
1711.213333,217.8,239
1727.92,217.8,223
1744.806667,216.6,206
1761.693333,216.9,189
1778.58,217.3,172
1795.473333,217.5,155
1812.366667,218.0,138
1829.26,216.0,121
1846.63,217.7,104
1864.0,216.4,86
1881.37,216.4,69
1897.823333,217.8,53
1914.276667,216.4,36
1930.73,219.2,20
1947.4,217.4,3
1964.07,217.4,-14
1980.74,217.0,-30
1997.776667,217.6,-47
2014.813333,217.1,-64
2031.85,216.7,-81
2049.556667,216.4,-99
2067.263333,217.4,-117
2084.97,216.5,-134
2102.193333,219.1,-152
2119.416667,216.7,-169
2136.64,216.7,-186
2153.993333,217.9,-203
2171.346667,216.8,-221
2188.7,217.1,-238
2206.983333,216.4,-256
2225.266667,217.0,-275
2243.55,217.0,-293
2260.54,217.6,-310
2277.53,218.3,-327
2294.52,217.7,-344
2311.996667,217.1,-361
2329.473333,217.6,-379
2346.95,215.4,-396
2366.986667,216.0,-416
2387.023333,216.8,-437
2407.06,216.6,-457
2426.05,216.5,-476
2445.04,215.5,-495
2464.03,216.7,-514
2482.973333,217.4,-532
2501.916667,216.8,-551
2520.86,216.8,-570
2538.836667,217.6,-588
2556.813333,217.0,-606
2574.79,218.4,-624
2592.536667,217.3,-642
2610.283333,218.0,-660
2628.03,216.7,-678
2645.516667,217.8,-695
2663.003333,218.3,-713
2680.49,217.5,-730
