Age,Temperature,Year
38.37379,0.88,1912
46.81203,1.84,1904
55.05624,3.04,1895
64.41511,0.35,1886
73.15077,-0.42,1877
81.93244,0.05,1869
90.75925,0.05,1860
99.97031,-0.52,1851
109.88879,0.79,1841
119.25888,-0.55,1831
129.40378,-1.11,1821
139.93889,0.38,1811
150.10205,-0.4,1800
160.58005,1.05,1790
171.01834,0.28,1779
181.44466,-0.72,1769
191.48283,-1.23,1759
201.87233,0.51,1749
212.18626,-2.44,1738
223.16292,0.42,1727
233.73909,0.84,1717
244.64073,0.71,1706
255.49973,-0.02,1695
266.61209,-0.14,1684
277.77097,-1.41,1673
289.25006,-0.34,1661
301.04303,0.16,1649
312.44177,-1.22,1638
323.85452,-0.41,1627
335.57825,-0.59,1615
346.88129,0.03,1604
358.50821,-0.67,1592
370.90112,-0.9,1580
382.87436,-1.53,1568
395.18558,-0.47,1555
407.46558,-0.12,1543
418.75491,0.21,1532
430.39774,-1.73,1520
442.40918,0.16,1508
454.09915,0.14,1496
466.12518,-0.56,1484
478.21433,-0.8,1472
490.39719,0.42,1460
503.05731,-2.36,1447
515.651,-0.85,1435
528.76422,-0.36,1422
541.60858,1.26,1409
554.93121,0.7,1396
567.75421,-0.77,1383
580.59985,1.4,1370
593.51135,-0.87,1357
606.47388,-0.81,1344
619.46606,1.46,1331
632.04871,0.98,1318
644.98712,0.27,1306
658.25757,-0.96,1292
672.12836,-0.61,1278
686.65106,-0.63,1264
700.67932,-0.49,1250
715.02704,-0.96,1235
729.27771,-1.44,1221
744.23865,-0.91,1206
758.74341,-0.1,1192
772.40747,-0.16,1178
785.83618,0.32,1165
798.90051,0.03,1152
812.30737,0.56,1138
824.81067,0.94,1126
837.10004,1.17,1113
849.37903,1.5,1101
861.96991,-1.03,1089
875.36835,0.59,1075
889.09241,-1.41,1061
903.1662,0.92,1047
917.33173,-1.03,1033
931.97516,-0.67,1019
946.98193,-0.55,1004
961.22705,-0.75,989
975.76489,0.38,975
990.15808,-0.4,960
1004.54004,-0.44,946
1018.7851,-0.95,932
1032.38147,0.14,918
1046.66455,0.99,904
1060.58911,0.36,890
1074.79602,-0.75,876
1089.0769,-0.8,861
1103.7052,0.72,847
1118.15979,-0.54,832
1132.65186,1.55,818
1146.79089,-0.9,804
1160.92249,-0.34,790
1174.39355,0.93,776
1188.11206,1.03,762
1201.49829,0.88,749
1215.03625,-0.54,735
1229.32214,0.58,721
1243.60388,0.37,707
1258.22241,0.27,692
1272.59155,-0.16,678
1286.97961,-0.3,664
1301.70935,1.23,649
1315.86951,0.22,635
1330.4541,0.89,620
1344.70923,-0.17,606
1358.6217,1.55,592
1372.61572,0.89,578
1386.61511,-0.17,564
1400.62073,-0.02,550
1415.92065,-0.48,535
1431.90051,-0.7,519
1447.89026,-0.45,503
1463.26855,1.04,487
1478.73511,-0.93,472
1494.21582,-0.32,456
1509.67847,-0.54,441
1525.08606,-0.27,425
1540.51196,0.9,410
1556.33752,-0.92,394
1571.98694,0.04,379
1588.01611,0.24,362
1604.08252,-1.15,346
1620.57983,-0.84,330
1637.10657,0.73,313
1654.01477,-1.24,296
1670.17859,0.42,280
1686.01746,0.35,264
1702.25342,-0.81,248
1719.76782,-0.56,231
1736.97498,-0.11,214
1754.16895,0.1,196
1770.60083,0.55,180
1787.40186,-1.41,163
1804.23096,0.25,146
1821.97449,-1.04,129
1839.34473,-0.99,111
1856.49829,0.35,94
1872.56653,-1.06,78
1888.98816,1.79,62
1905.45862,0.0,45
1922.0116,0.01,28
1938.20874,-0.38,12
1955.51404,0.18,-5
1972.75623,-0.3,-22
1990.00256,-0.73,-40
2007.35229,-1.08,-57
2025.23914,-0.02,-75
2043.51099,-0.92,-93
2060.98633,1.62,-110
2078.09888,-0.7,-128
2095.21533,-0.74,-145
2112.52783,0.44,-162
2129.74927,-0.64,-179
2147.34131,-0.34,-197
2165.32129,-1.02,-215
2183.99536,-0.48,-233
2202.29272,-0.46,-252
2236.5647,0.86,-286
2253.38916,0.3,-303
2270.87402,-0.35,-320
2288.77588,0.17,-338
2306.32422,-2.05,-356
2326.60645,-1.41,-376
2346.90186,-0.63,-396
2366.62476,-0.83,-416
2385.38379,-0.94,-435
2404.53833,-1.97,-454
2423.7998,-0.78,-473
2443.08032,0.0,-493
2462.51489,-0.65,-512
2480.89111,-0.63,-530
2499.64697,0.16,-549
2517.80176,-0.45,-567
2535.12402,0.92,-585
2552.80396,-0.11,-602
2570.83887,0.51,-620
2589.01855,-0.77,-639
2607.20264,0.37,-657
2624.53931,0.85,-674
2641.80493,0.09,-691
2659.10327,-0.19,-709
2678.04224,-0.56,-728
2696.61401,-0.2,-746
2714.85034,-0.88,-764
2732.7207,1.29,-782
2750.24463,0.89,-800
2767.45288,0.81,-817
2784.27979,0.91,-834
2801.44702,0.01,-851
2818.38721,1.32,-868
2835.10181,1.12,-885
2851.81982,1.12,-901
2869.81689,0.04,-919
2888.01172,-0.64,-938
2906.21045,-1.0,-956
2924.22363,0.57,-974
2942.89673,0.29,-992
2961.21436,-0.34,-1011
2980.44849,-0.91,-1030
2999.6936,-0.01,-1049
3018.71484,-0.51,-1068
3037.35205,0.1,-1087
3055.99341,0.15,-1105
3074.13501,-0.03,-1124
3092.03613,0.63,-1142
3128.5083,1.27,-1178
3146.72217,-1.46,-1196
3165.27637,-0.91,-1215
3185.7229,-1.3,-1235
3206.56641,0.62,-1256
3226.7688,-0.82,-1276
3246.86279,-1.76,-1296
3267.21094,0.47,-1317
3286.70679,-0.74,-1336
3306.5813,-1.05,-1356
3325.90356,0.7,-1375
3345.50293,-0.71,-1395
3365.14771,-1.44,-1415
3385.10962,-0.01,-1435
3405.45874,-0.28,-1455
3425.45044,-0.44,-1475
3445.16016,-0.18,-1495
3464.87329,-0.02,-1514
3483.79248,0.46,-1533
3503.07251,-1.04,-1553
3522.05103,1.35,-1572
3540.56226,0.15,-1590
3559.07617,-0.29,-1609
3578.32837,0.16,-1628
