Year,Month,Median montly series,Season
1711,1,16.4,Winter
1711,2,73.1,Winter
1711,3,121.2,Spring
1711,4,85.2,Spring
1711,5,66.6,Spring
1711,6,66.6,Summer
1711,7,46.9,Summer
1711,8,91.7,Summer
1711,9,74.2,Autumn
1711,10,128.8,Autumn
1711,11,207.4,Autumn
1711,12,113.5,Winter
1712,1,42.6,Winter
1712,2,31.3,Winter
1712,3,83.9,Spring
1712,4,102.7,Spring
1712,5,60.1,Spring
1712,6,102.7,Summer
1712,7,200.4,Summer
1712,8,106.5,Summer
1712,9,111.5,Autumn
1712,10,180.4,Autumn
1712,11,175.4,Autumn
1712,12,55.1,Winter
1713,1,97.3,Winter
1713,2,107.1,Winter
1713,3,60.9,Spring
1713,4,30.5,Spring
1713,5,70.7,Spring
1713,6,76.6,Summer
1713,7,160.1,Summer
1713,8,127.7,Summer
1713,9,39.3,Autumn
1713,10,41.3,Autumn
1713,11,90.4,Autumn
1713,12,80.6,Winter
1714,1,42.4,Winter
1714,2,80.5,Winter
1714,3,53.9,Spring
1714,4,56.6,Spring
1714,5,41.6,Spring
1714,6,26.5,Summer
1714,7,150.3,Summer
1714,8,79.6,Summer
1714,9,66.3,Autumn
1714,10,114.1,Autumn
1714,11,82.2,Autumn
1714,12,90.2,Winter
1715,1,125.8,Winter
1715,2,69.2,Winter
1715,3,76.7,Spring
1715,4,135.9,Spring
1715,5,166.1,Spring
1715,6,106.9,Summer
1715,7,123.3,Summer
1715,8,108.2,Summer
1715,9,128.3,Autumn
1715,10,104.4,Autumn
1715,11,65.4,Autumn
1715,12,47.8,Winter
1716,1,17.8,Winter
1716,2,55.5,Winter
1716,3,37.7,Spring
1716,4,73.2,Spring
1716,5,128.7,Spring
1716,6,53.4,Summer
1716,7,75.3,Summer
1716,8,67.0,Summer
1716,9,193.6,Autumn
1716,10,144.4,Autumn
1716,11,122.4,Autumn
1716,12,77.4,Winter
1717,1,99.0,Winter
1717,2,73.3,Winter
1717,3,74.3,Spring
1717,4,94.1,Spring
1717,5,79.2,Spring
1717,6,74.3,Summer
1717,7,65.3,Summer
1717,8,93.1,Summer
1717,9,96.0,Autumn
1717,10,65.3,Autumn
1717,11,125.7,Autumn
1717,12,90.1,Winter
1718,1,62.5,Winter
1718,2,75.7,Winter
1718,3,71.0,Spring
1718,4,89.0,Spring
1718,5,68.2,Spring
1718,6,27.5,Summer
1718,7,60.6,Summer
1718,8,126.9,Summer
1718,9,34.1,Autumn
1718,10,95.6,Autumn
1718,11,80.5,Autumn
1718,12,164.8,Winter
1719,1,71.9,Winter
1719,2,118.9,Winter
1719,3,54.6,Spring
1719,4,70.9,Spring
1719,5,67.1,Spring
1719,6,45.1,Summer
1719,7,68.1,Summer
1719,8,70.0,Summer
1719,9,56.6,Autumn
1719,10,95.9,Autumn
1719,11,139.0,Autumn
1719,12,100.7,Winter
1720,1,144.0,Winter
1720,2,85.4,Winter
1720,3,103.7,Spring
1720,4,63.5,Spring
1720,5,87.9,Spring
1720,6,72.0,Summer
1720,7,101.3,Summer
1720,8,118.4,Summer
1720,9,91.5,Autumn
1720,10,119.6,Autumn
1720,11,109.8,Autumn
1720,12,123.3,Winter
1721,1,97.8,Winter
1721,2,59.1,Winter
1721,3,72.8,Spring
1721,4,131.9,Spring
1721,5,72.8,Spring
1721,6,106.9,Summer
1721,7,102.3,Summer
1721,8,125.1,Summer
1721,9,60.3,Autumn
1721,10,97.8,Autumn
1721,11,158.1,Autumn
1721,12,52.3,Winter
1722,1,71.4,Winter
1722,2,45.4,Winter
1722,3,100.9,Spring
1722,4,47.6,Spring
1722,5,181.4,Spring
1722,6,87.3,Summer
1722,7,145.1,Summer
1722,8,79.4,Summer
1722,9,46.5,Autumn
1722,10,65.8,Autumn
1722,11,114.5,Autumn
1722,12,148.5,Winter
1723,1,91.5,Winter
1723,2,137.3,Winter
1723,3,70.0,Spring
1723,4,67.4,Spring
1723,5,18.1,Spring
1723,6,36.3,Summer
1723,7,89.8,Summer
1723,8,47.5,Summer
1723,9,43.2,Autumn
1723,10,63.9,Autumn
1723,11,96.7,Autumn
1723,12,101.9,Winter
1724,1,134.6,Winter
1724,2,85.6,Winter
