Year,Month,Median montly series,Season,Avg,Avg_trend
1711,1,16.4,Winter,90.96666666666665,
1711,2,73.1,Winter,90.96666666666665,
1711,3,121.2,Spring,90.96666666666665,
1711,4,85.2,Spring,90.96666666666665,
1711,5,66.6,Spring,90.96666666666665,
1711,6,66.6,Summer,90.96666666666665,
1711,7,46.9,Summer,90.96666666666665,
1711,8,91.7,Summer,90.96666666666665,
1711,9,74.2,Autumn,90.96666666666665,
1711,10,128.8,Autumn,90.96666666666665,
1711,11,207.4,Autumn,90.96666666666665,
1711,12,113.5,Winter,90.96666666666665,
1712,1,42.6,Winter,104.38333333333334,
1712,2,31.3,Winter,104.38333333333334,
1712,3,83.9,Spring,104.38333333333334,
1712,4,102.7,Spring,104.38333333333334,
1712,5,60.1,Spring,104.38333333333334,
1712,6,102.7,Summer,104.38333333333334,
1712,7,200.4,Summer,104.38333333333334,
1712,8,106.5,Summer,104.38333333333334,
1712,9,111.5,Autumn,104.38333333333334,
1712,10,180.4,Autumn,104.38333333333334,
1712,11,175.4,Autumn,104.38333333333334,
1712,12,55.1,Winter,104.38333333333334,97.675
1713,1,97.3,Winter,81.875,97.29618055555555
1713,2,107.1,Winter,81.875,96.9173611111111
1713,3,60.9,Spring,81.875,96.53854166666666
1713,4,30.5,Spring,81.875,96.15972222222221
1713,5,70.7,Spring,81.875,95.78090277777777
1713,6,76.6,Summer,81.875,95.40208333333334
1713,7,160.1,Summer,81.875,95.02326388888889
1713,8,127.7,Summer,81.875,94.64444444444445
1713,9,39.3,Autumn,81.875,94.265625
1713,10,41.3,Autumn,81.875,93.88680555555555
1713,11,90.4,Autumn,81.875,93.50798611111111
1713,12,80.6,Winter,81.875,93.12916666666666
1714,1,42.4,Winter,73.68333333333334,91.85000000000001
1714,2,80.5,Winter,73.68333333333334,90.57083333333334
1714,3,53.9,Spring,73.68333333333334,89.29166666666667
1714,4,56.6,Spring,73.68333333333334,88.0125
1714,5,41.6,Spring,73.68333333333334,86.73333333333333
1714,6,26.5,Summer,73.68333333333334,85.45416666666667
1714,7,150.3,Summer,73.68333333333334,84.175
1714,8,79.6,Summer,73.68333333333334,82.89583333333333
1714,9,66.3,Autumn,73.68333333333334,81.61666666666666
1714,10,114.1,Autumn,73.68333333333334,80.3375
1714,11,82.2,Autumn,73.68333333333334,79.05833333333334
1714,12,90.2,Winter,73.68333333333334,77.77916666666668
1715,1,125.8,Winter,104.83333333333333,78.7357638888889
1715,2,69.2,Winter,104.83333333333333,79.69236111111111
1715,3,76.7,Spring,104.83333333333333,80.64895833333334
1715,4,135.9,Spring,104.83333333333333,81.60555555555555
1715,5,166.1,Spring,104.83333333333333,82.56215277777777
1715,6,106.9,Summer,104.83333333333333,83.51875
1715,7,123.3,Summer,104.83333333333333,84.47534722222223
1715,8,108.2,Summer,104.83333333333333,85.43194444444445
1715,9,128.3,Autumn,104.83333333333333,86.38854166666665
1715,10,104.4,Autumn,104.83333333333333,87.34513888888888
1715,11,65.4,Autumn,104.83333333333333,88.3017361111111
1715,12,47.8,Winter,104.83333333333333,89.25833333333333
1716,1,17.8,Winter,87.2,89.82152777777777
1716,2,55.5,Winter,87.2,90.38472222222224
1716,3,37.7,Spring,87.2,90.94791666666667
1716,4,73.2,Spring,87.2,91.51111111111112
1716,5,128.7,Spring,87.2,92.07430555555555
1716,6,53.4,Summer,87.2,92.6375
1716,7,75.3,Summer,87.2,93.20069444444444
1716,8,67.0,Summer,87.2,93.76388888888887
1716,9,193.6,Autumn,87.2,94.32708333333333
1716,10,144.4,Autumn,87.2,94.89027777777778
1716,11,122.4,Autumn,87.2,95.45347222222223
1716,12,77.4,Winter,87.2,96.01666666666667
1717,1,99.0,Winter,85.80833333333334,95.22395833333333
1717,2,73.3,Winter,85.80833333333334,94.43124999999999
1717,3,74.3,Spring,85.80833333333334,93.63854166666668
1717,4,94.1,Spring,85.80833333333334,92.84583333333335
1717,5,79.2,Spring,85.80833333333334,92.05312499999998
1717,6,74.3,Summer,85.80833333333334,91.26041666666667
1717,7,65.3,Summer,85.80833333333334,90.46770833333333
1717,8,93.1,Summer,85.80833333333334,89.675
1717,9,96.0,Autumn,85.80833333333334,88.88229166666667
1717,10,65.3,Autumn,85.80833333333334,88.08958333333334
1717,11,125.7,Autumn,85.80833333333334,87.296875
1717,12,90.1,Winter,85.80833333333334,86.50416666666668
1718,1,62.5,Winter,79.7,86.19166666666666
1718,2,75.7,Winter,79.7,85.87916666666666
1718,3,71.0,Spring,79.7,85.56666666666666
1718,4,89.0,Spring,79.7,85.25416666666668
1718,5,68.2,Spring,79.7,84.94166666666668
1718,6,27.5,Summer,79.7,84.62916666666668
1718,7,60.6,Summer,79.7,84.31666666666668
1718,8,126.9,Summer,79.7,84.00416666666666
1718,9,34.1,Autumn,79.7,83.69166666666666
1718,10,95.6,Autumn,79.7,83.37916666666668
1718,11,80.5,Autumn,79.7,83.06666666666668
1718,12,164.8,Winter,79.7,82.75416666666668
1719,1,71.9,Winter,79.89999999999999,82.50798611111111
1719,2,118.9,Winter,79.89999999999999,82.26180555555555
1719,3,54.6,Spring,79.89999999999999,82.015625
1719,4,70.9,Spring,79.89999999999999,81.76944444444445
1719,5,67.1,Spring,79.89999999999999,81.52326388888889
1719,6,45.1,Summer,79.89999999999999,81.27708333333332
1719,7,68.1,Summer,79.89999999999999,81.03090277777778
1719,8,70.0,Summer,79.89999999999999,80.78472222222221
1719,9,56.6,Autumn,79.89999999999999,80.53854166666666
1719,10,95.9,Autumn,79.89999999999999,80.2923611111111
1719,11,139.0,Autumn,79.89999999999999,80.04618055555555
1719,12,100.7,Winter,79.89999999999999,79.8
1720,1,144.0,Winter,101.7,80.71666666666665
1720,2,85.4,Winter,101.7,81.63333333333333
1720,3,103.7,Spring,101.7,82.55
1720,4,63.5,Spring,101.7,83.46666666666667
1720,5,87.9,Spring,101.7,84.38333333333334
1720,6,72.0,Summer,101.7,85.3
1720,7,101.3,Summer,101.7,86.21666666666665
1720,8,118.4,Summer,101.7,87.13333333333333
1720,9,91.5,Autumn,101.7,88.05
1720,10,119.6,Autumn,101.7,88.96666666666665
1720,11,109.8,Autumn,101.7,89.88333333333334
1720,12,123.3,Winter,101.7,90.8
1721,1,97.8,Winter,94.76666666666667,91.41944444444444
1721,2,59.1,Winter,94.76666666666667,92.03888888888889
1721,3,72.8,Spring,94.76666666666667,92.65833333333335
1721,4,131.9,Spring,94.76666666666667,93.27777777777777
1721,5,72.8,Spring,94.76666666666667,93.89722222222223
1721,6,106.9,Summer,94.76666666666667,94.51666666666665
1721,7,102.3,Summer,94.76666666666667,95.13611111111112
1721,8,125.1,Summer,94.76666666666667,95.75555555555555
1721,9,60.3,Autumn,94.76666666666667,96.375
1721,10,97.8,Autumn,94.76666666666667,96.99444444444443
1721,11,158.1,Autumn,94.76666666666667,97.6138888888889
1721,12,52.3,Winter,94.76666666666667,98.23333333333335
1722,1,71.4,Winter,94.48333333333333,97.93263888888889
1722,2,45.4,Winter,94.48333333333333,97.63194444444444
1722,3,100.9,Spring,94.48333333333333,97.33125000000001
1722,4,47.6,Spring,94.48333333333333,97.03055555555555
1722,5,181.4,Spring,94.48333333333333,96.72986111111112
1722,6,87.3,Summer,94.48333333333333,96.42916666666666
1722,7,145.1,Summer,94.48333333333333,96.12847222222223
1722,8,79.4,Summer,94.48333333333333,95.82777777777777
1722,9,46.5,Autumn,94.48333333333333,95.52708333333334
1722,10,65.8,Autumn,94.48333333333333,95.22638888888889
1722,11,114.5,Autumn,94.48333333333333,94.92569444444445
1722,12,148.5,Winter,94.48333333333333,94.625
1723,1,91.5,Winter,71.96666666666667,93.675
1723,2,137.3,Winter,71.96666666666667,92.72500000000001
1723,3,70.0,Spring,71.96666666666667,91.77499999999999
1723,4,67.4,Spring,71.96666666666667,90.825
1723,5,18.1,Spring,71.96666666666667,89.875
1723,6,36.3,Summer,71.96666666666667,88.92500000000001
1723,7,89.8,Summer,71.96666666666667,87.97500000000001
1723,8,47.5,Summer,71.96666666666667,87.02499999999999
1723,9,43.2,Autumn,71.96666666666667,86.075
1723,10,63.9,Autumn,71.96666666666667,85.125
1723,11,96.7,Autumn,71.96666666666667,84.175
1723,12,101.9,Winter,71.96666666666667,83.22500000000001
1724,1,134.6,Winter,101.95,83.53611111111111
1724,2,85.6,Winter,101.95,83.84722222222221
1724,3,91.8,Spring,101.95,84.15833333333333
1724,4,69.7,Spring,101.95,84.46944444444445
1724,5,62.4,Spring,101.95,84.78055555555555
1724,6,63.6,Summer,101.95,85.09166666666667
1724,7,105.2,Summer,101.95,85.40277777777777
1724,8,179.9,Summer,101.95,85.7138888888889
1724,9,111.3,Autumn,101.95,86.02500000000002
1724,10,51.4,Autumn,101.95,86.33611111111111
1724,11,68.5,Autumn,101.95,86.64722222222223
1724,12,199.4,Winter,101.95,86.95833333333333
1725,1,111.6,Winter,100.0,88.12638888888888
1725,2,50.4,Winter,100.0,89.29444444444444
1725,3,46.8,Spring,100.0,90.46249999999999
1725,4,108.0,Spring,100.0,91.63055555555555
1725,5,88.8,Spring,100.0,92.7986111111111
1725,6,129.6,Summer,100.0,93.96666666666665
1725,7,103.2,Summer,100.0,95.13472222222221
1725,8,135.6,Summer,100.0,96.30277777777776
1725,9,118.8,Autumn,100.0,97.47083333333332
1725,10,90.0,Autumn,100.0,98.63888888888887
1725,11,108.0,Autumn,100.0,99.80694444444445
1725,12,109.2,Winter,100.0,100.97500000000001
1726,1,119.1,Winter,91.86666666666667,100.55486111111111
1726,2,83.8,Winter,91.86666666666667,100.13472222222224
1726,3,49.6,Spring,91.86666666666667,99.71458333333332
1726,4,61.7,Spring,91.86666666666667,99.29444444444444
1726,5,73.9,Spring,91.86666666666667,98.87430555555557
1726,6,101.4,Summer,91.86666666666667,98.45416666666667
1726,7,88.2,Summer,91.86666666666667,98.03402777777778
1726,8,76.1,Summer,91.86666666666667,97.61388888888888
1726,9,153.2,Autumn,91.86666666666667,97.19375000000001
1726,10,92.6,Autumn,91.86666666666667,96.77361111111112
1726,11,103.6,Autumn,91.86666666666667,96.35347222222224
1726,12,99.2,Winter,91.86666666666667,95.93333333333334
1727,1,98.0,Winter,97.19166666666666,95.81631944444445
1727,2,105.0,Winter,97.19166666666666,95.69930555555557
1727,3,53.6,Spring,97.19166666666666,95.58229166666668
1727,4,105.0,Spring,97.19166666666666,95.46527777777779
1727,5,116.6,Spring,97.19166666666666,95.3482638888889
1727,6,86.3,Summer,97.19166666666666,95.23125
1727,7,93.3,Summer,97.19166666666666,95.11423611111111
1727,8,68.8,Summer,97.19166666666666,94.99722222222222
1727,9,119.0,Autumn,97.19166666666666,94.88020833333333
1727,10,123.6,Autumn,97.19166666666666,94.76319444444444
1727,11,106.1,Autumn,97.19166666666666,94.64618055555557
1727,12,91.0,Winter,97.19166666666666,94.52916666666668
1728,1,122.7,Winter,99.26666666666667,94.83749999999999
1728,2,52.4,Winter,99.26666666666667,95.14583333333333
1728,3,92.9,Spring,99.26666666666667,95.45416666666665
1728,4,94.1,Spring,99.26666666666667,95.7625
1728,5,69.1,Spring,99.26666666666667,96.07083333333333
1728,6,140.6,Summer,99.26666666666667,96.37916666666666
1728,7,82.2,Summer,99.26666666666667,96.6875
1728,8,81.0,Summer,99.26666666666667,96.99583333333334
1728,9,110.8,Autumn,99.26666666666667,97.30416666666667
1728,10,94.1,Autumn,99.26666666666667,97.6125
1728,11,131.0,Autumn,99.26666666666667,97.92083333333333
1728,12,120.3,Winter,99.26666666666667,98.22916666666667
1729,1,110.6,Winter,92.14999999999999,98.01909722222223
1729,2,52.0,Winter,92.14999999999999,97.80902777777777
1729,3,69.7,Spring,92.14999999999999,97.59895833333331
1729,4,26.5,Spring,92.14999999999999,97.38888888888887
1729,5,69.7,Spring,92.14999999999999,97.17881944444444
1729,6,82.9,Summer,92.14999999999999,96.96875
1729,7,68.6,Summer,92.14999999999999,96.75868055555556
1729,8,80.7,Summer,92.14999999999999,96.5486111111111
1729,9,111.7,Autumn,92.14999999999999,96.33854166666667
1729,10,94.0,Autumn,92.14999999999999,96.12847222222223
1729,11,182.4,Autumn,92.14999999999999,95.91840277777777
1729,12,157.0,Winter,92.14999999999999,95.70833333333333
1730,1,73.4,Winter,100.25833333333334,95.74965277777778
1730,2,127.5,Winter,100.25833333333334,95.79097222222221
1730,3,92.6,Spring,100.25833333333334,95.83229166666666
1730,4,61.4,Spring,100.25833333333334,95.87361111111112
1730,5,117.9,Spring,100.25833333333334,95.91493055555556
1730,6,139.5,Summer,100.25833333333334,95.95625
1730,7,99.9,Summer,100.25833333333334,95.99756944444444
1730,8,80.6,Summer,100.25833333333334,96.03888888888889
1730,9,72.2,Autumn,100.25833333333334,96.08020833333332
1730,10,129.9,Autumn,100.25833333333334,96.12152777777777
1730,11,108.3,Autumn,100.25833333333334,96.16284722222223
1730,12,99.9,Winter,100.25833333333334,96.20416666666667
1731,1,94.3,Winter,74.84166666666665,95.48298611111112
1731,2,96.1,Winter,74.84166666666665,94.76180555555555
1731,3,28.7,Spring,74.84166666666665,94.04062500000002
1731,4,26.9,Spring,74.84166666666665,93.31944444444446
1731,5,50.3,Spring,74.84166666666665,92.59826388888888
1731,6,35.9,Summer,74.84166666666665,91.87708333333332
1731,7,49.4,Summer,74.84166666666665,91.15590277777777
1731,8,80.8,Summer,74.84166666666665,90.43472222222222
1731,9,71.9,Autumn,74.84166666666665,89.71354166666667
1731,10,113.2,Autumn,74.84166666666665,88.99236111111111
1731,11,131.1,Autumn,74.84166666666665,88.27118055555555
1731,12,119.5,Winter,74.84166666666665,87.55
1732,1,122.5,Winter,93.675,87.27569444444443
1732,2,96.7,Winter,93.675,87.00138888888888
1732,3,93.3,Spring,93.675,86.72708333333333
1732,4,61.8,Spring,93.675,86.45277777777778
1732,5,118.0,Spring,93.675,86.17847222222223
1732,6,36.0,Summer,93.675,85.90416666666665
1732,7,98.9,Summer,93.675,85.6298611111111
1732,8,80.9,Summer,93.675,85.35555555555555
1732,9,111.3,Autumn,93.675,85.08125
1732,10,130.4,Autumn,93.675,84.80694444444443
1732,11,55.1,Autumn,93.675,84.53263888888888
1732,12,119.2,Winter,93.675,84.25833333333333
1733,1,149.0,Winter,100.97500000000001,85.34722222222221
1733,2,127.2,Winter,100.97500000000001,86.43611111111112
1733,3,93.3,Spring,100.97500000000001,87.52499999999999
1733,4,61.8,Spring,100.97500000000001,88.61388888888888
1733,5,23.0,Spring,100.97500000000001,89.70277777777777
1733,6,60.6,Summer,100.97500000000001,90.79166666666667
1733,7,49.7,Summer,100.97500000000001,91.88055555555555
1733,8,116.3,Summer,100.97500000000001,92.96944444444443
1733,9,111.5,Autumn,100.97500000000001,94.05833333333332
1733,10,94.5,Autumn,100.97500000000001,95.14722222222224
1733,11,130.9,Autumn,100.97500000000001,96.23611111111113
1733,12,193.9,Winter,100.97500000000001,97.325
1734,1,94.3,Winter,98.25833333333333,97.51597222222222
1734,2,71.9,Winter,98.25833333333333,97.70694444444446
1734,3,102.6,Spring,98.25833333333333,97.89791666666667
1734,4,44.8,Spring,98.25833333333333,98.08888888888889
1734,5,117.9,Spring,98.25833333333333,98.27986111111112
1734,6,95.5,Summer,98.25833333333333,98.47083333333335
1734,7,127.4,Summer,98.25833333333333,98.66180555555557
1734,8,81.4,Summer,98.25833333333333,98.85277777777777
1734,9,110.8,Autumn,98.25833333333333,99.04374999999999
1734,10,93.2,Autumn,98.25833333333333,99.23472222222222
1734,11,82.5,Autumn,98.25833333333333,99.42569444444445
1734,12,156.8,Winter,98.25833333333333,99.61666666666667
1735,1,122.7,Winter,111.13333333333333,100.03993055555554
1735,2,96.0,Winter,111.13333333333333,100.46319444444445
1735,3,102.7,Spring,111.13333333333333,100.88645833333334
1735,4,93.4,Spring,111.13333333333333,101.30972222222222
1735,5,50.7,Spring,111.13333333333333,101.73298611111112
1735,6,96.0,Summer,111.13333333333333,102.15625
1735,7,128.0,Summer,111.13333333333333,102.57951388888888
1735,8,116.0,Summer,111.13333333333333,103.00277777777778
1735,9,110.7,Autumn,111.13333333333333,103.42604166666666
1735,10,130.7,Autumn,111.13333333333333,103.84930555555555
1735,11,166.7,Autumn,111.13333333333333,104.27256944444444
1735,12,120.0,Winter,111.13333333333333,104.69583333333333
1736,1,149.8,Winter,85.46666666666665,104.16284722222223
1736,2,96.4,Winter,85.46666666666665,103.6298611111111
1736,3,68.7,Spring,85.46666666666665,103.096875
1736,4,93.3,Spring,85.46666666666665,102.56388888888888
1736,5,99.5,Spring,85.46666666666665,102.03090277777778
1736,6,20.5,Summer,85.46666666666665,101.49791666666665
1736,7,49.2,Summer,85.46666666666665,100.96493055555554
1736,8,81.0,Summer,85.46666666666665,100.43194444444443
1736,9,71.8,Autumn,85.46666666666665,99.89895833333333
1736,10,94.4,Autumn,85.46666666666665,99.36597222222223
1736,11,81.0,Autumn,85.46666666666665,98.8329861111111
1736,12,120.0,Winter,85.46666666666665,98.3
1737,1,149.4,Winter,92.23333333333333,97.51249999999999
1737,2,127.3,Winter,92.23333333333333,96.72499999999998
1737,3,93.0,Spring,92.23333333333333,95.93749999999999
1737,4,94.1,Spring,92.23333333333333,95.14999999999999
1737,5,49.8,Spring,92.23333333333333,94.3625
1737,6,60.9,Summer,92.23333333333333,93.575
1737,7,49.8,Summer,92.23333333333333,92.78749999999998
1737,8,116.2,Summer,92.23333333333333,92.0
1737,9,71.9,Autumn,92.23333333333333,91.21249999999999
1737,10,94.1,Autumn,92.23333333333333,90.425
1737,11,80.8,Autumn,92.23333333333333,89.63749999999999
1737,12,119.5,Winter,92.23333333333333,88.84999999999998
1738,1,149.7,Winter,106.63333333333333,89.73194444444444
1738,2,72.9,Winter,106.63333333333333,90.61388888888888
1738,3,69.1,Spring,106.63333333333333,91.49583333333332
1738,4,94.7,Spring,106.63333333333333,92.37777777777778
1738,5,117.7,Spring,106.63333333333333,93.25972222222221
1738,6,96.0,Summer,106.63333333333333,94.14166666666667
1738,7,48.6,Summer,106.63333333333333,95.02361111111111
1738,8,140.8,Summer,106.63333333333333,95.90555555555557
1738,9,111.3,Autumn,106.63333333333333,96.78750000000001
1738,10,152.3,Autumn,106.63333333333333,97.66944444444444
1738,11,107.5,Autumn,106.63333333333333,98.55138888888888
1738,12,119.0,Winter,106.63333333333333,99.43333333333332
1739,1,122.9,Winter,93.13333333333334,99.47083333333335
1739,2,96.1,Winter,93.13333333333334,99.50833333333333
1739,3,48.1,Spring,93.13333333333334,99.54583333333333
1739,4,61.5,Spring,93.13333333333334,99.58333333333333
1739,5,69.3,Spring,93.13333333333334,99.62083333333334
1739,6,96.1,Summer,93.13333333333334,99.65833333333332
1739,7,127.4,Summer,93.13333333333334,99.69583333333333
1739,8,116.2,Summer,93.13333333333334,99.73333333333333
1739,9,145.3,Autumn,93.13333333333334,99.77083333333333
1739,10,70.4,Autumn,93.13333333333334,99.80833333333332
1739,11,108.4,Autumn,93.13333333333334,99.84583333333335
1739,12,55.9,Winter,93.13333333333334,99.88333333333333
1740,1,35.0,Winter,64.75,98.13819444444444
1740,2,52.8,Winter,64.75,96.39305555555556
1740,3,48.2,Spring,64.75,94.64791666666667
1740,4,26.4,Spring,64.75,92.90277777777779
1740,5,69.9,Spring,64.75,91.15763888888888
1740,6,36.5,Summer,64.75,89.41250000000001
1740,7,68.4,Summer,64.75,87.66736111111112
1740,8,100.3,Summer,64.75,85.92222222222222
1740,9,111.1,Autumn,64.75,84.17708333333334
1740,10,70.7,Autumn,64.75,82.43194444444445
1740,11,80.8,Autumn,64.75,80.68680555555557
1740,12,76.9,Winter,64.75,78.94166666666668
1741,1,109.8,Winter,68.81666666666666,77.92847222222223
1741,2,52.9,Winter,68.81666666666666,76.91527777777777
